Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate,ContentLicense
"4","1","7","","2008-07-31 21:42:52","","701","54136","<p>I want to use a <code>Track-Bar</code> to change a <code>Form</code>'s opacity.</p>
<p>This is my code:</p>
<pre class=""lang-cs prettyprint-override""><code>decimal trans = trackBar1.Value / 5000;
this.Opacity = trans;
</code></pre>
<p>When I build the application, it gives the following error:</p>
<blockquote>
<p>Cannot implicitly convert type <code>decimal</code> to <code>double</code></p>
</blockquote>
<p>I have tried using <code>trans</code> and <code>double</code>, but then the <code>Control</code> doesn't work. This code worked fine in a past VB.NET project.</p>
","8","","63550","Rich B","2020-11-11 21:19:20","2020-12-23 23:14:39","How to convert decimal to double in C#","<c#><floating-point><type-conversion><double><decimal>","15","2","52","","2012-10-31 16:42:47","CC BY-SA 4.0"
"6","1","31","","2008-07-31 22:08:08","","303","20627","<p>I have an absolutely positioned <code>div</code> containing several children, one of which is a relatively positioned <code>div</code>. When I use a <code>percentage-based width</code> on the child <code>div</code>, it collapses to <code>0 width</code> on IE7, but not on Firefox or Safari.</p>

<p>If I use <code>pixel width</code>, it works. If the parent is relatively positioned, the percentage width on the child works.</p>

<ol>
<li>Is there something I'm missing here?</li>
<li>Is there an easy fix for this besides the <code>pixel-based width</code> on the
child?</li>
<li>Is there an area of the CSS specification that covers this?</li>
</ol>
","9","","14723686","Rich B","2020-12-01 13:15:06","2020-12-04 15:06:13","Why did the width collapse in the percentage width child element in an absolutely positioned parent on Internet Explorer 7?","<html><css><internet-explorer-7>","7","0","13","","","CC BY-SA 4.0"
"9","1","1404","","2008-07-31 23:40:59","","1954","646489","<p>Given a <code>DateTime</code> representing a person's birthday, how do I calculate their age in years?</p>
","1","","4875631","Rich B","2020-10-19 20:44:03","2020-12-04 14:45:28","In C#, how do I calculate someone's age based on a DateTime type birthday?","<c#><.net><datetime>","64","6","467","","2011-08-16 19:40:43","CC BY-SA 4.0"
"11","1","1248","","2008-07-31 23:55:37","","1563","168913","<p>Given a specific <code>DateTime</code> value, how do I display relative time, like:</p>

<ul>
<li>2 hours ago</li>
<li>3 days ago</li>
<li>a month ago</li>
</ul>
","1","","6479704","user2370523","2017-06-04 15:51:19","2020-12-10 16:10:19","Calculate relative time in C#","<c#><datetime><time><datediff><relative-time-span>","39","4","546","","2009-09-04 13:15:59","CC BY-SA 3.0"
"13","1","","","2008-08-01 00:42:38","","635","214297","<p>Is there a standard way for a web server to be able to determine a user's timezone within a web page? </p>

<p>Perhaps from an HTTP header or part of the <code>user-agent</code> string?</p>
","9","","584192","Rich B","2020-12-03 03:37:56","2020-12-03 03:37:56","Determine a user's timezone","<html><browser><timezone><user-agent><timezone-offset>","25","9","156","","","CC BY-SA 4.0"
"14","1","","","2008-08-01 00:59:11","","441","144439","<p>What is the difference between <a href=""http://msdn.microsoft.com/en-us/library/9a6a2sxy.aspx"" rel=""noreferrer""><code>Math.Floor()</code></a> and <a href=""http://msdn.microsoft.com/en-us/library/system.math.truncate.aspx"" rel=""noreferrer""><code>Math.Truncate()</code></a> in .NET?</p>
","11","Anonymous User","6495084","Rich B","2017-02-25 17:42:17","2020-11-28 16:49:35","Difference between Math.Floor() and Math.Truncate()","<.net><math>","13","1","64","","","CC BY-SA 3.0"
"16","1","12446","","2008-08-01 04:59:33","","141","84914","<p>How do you expose a LINQ query as an ASMX web service? Usually, from the business tier, I can return a typed <code>DataSet</code> or <code>DataTable</code> which can be serialized for transport over ASMX.</p>

<p>How can I do the same for a LINQ query? Is there a way to populate a typed <code>DataSet</code> or <code>DataTable</code> via a LINQ query?</p>

<pre><code>public static MyDataTable CallMySproc()
{
    string conn = ""..."";

    MyDatabaseDataContext db = new MyDatabaseDataContext(conn);
    MyDataTable dt = new MyDataTable();

    // execute a sproc via LINQ
    var query = from dr
                in db.MySproc().AsEnumerable
                select dr;

    // copy LINQ query resultset into a DataTable -this does not work !    
    dt = query.CopyToDataTable();

    return dt;
}
</code></pre>

<p>How can I get the result set of a LINQ query into a <code>DataSet</code> or <code>DataTable</code>? Alternatively, is the LINQ query serializable so that I can expose it as an ASMX web service?</p>
","2","","567854","Chris Fournier","2019-01-20 13:50:51","2020-10-17 13:48:24","Filling a DataSet or DataTable from a LINQ query result set","<c#><linq><web-services><.net-3.5>","7","0","16","","","CC BY-SA 4.0"
"17","1","26","","2008-08-01 05:09:55","","191","78821","<p>How do I store binary data in <a href=""http://en.wikipedia.org/wiki/MySQL"" rel=""noreferrer"">MySQL</a>?</p>
","2","","584192","","2020-12-03 03:37:51","2020-12-03 03:37:51","Binary Data in MySQL","<mysql><database><binary-data><data-storage>","9","3","23","2018-11-29 15:36:04","","CC BY-SA 3.0"
"19","1","531","","2008-08-01 05:21:22","","331","55656","<p>I'm looking for the fastest way to obtain the value of π, as a personal challenge. More specifically, I'm using ways that don't involve using <code>#define</code> constants like <code>M_PI</code>, or hard-coding the number in.</p>

<p>The program below tests the various ways I know of. The inline assembly version is, in theory, the fastest option, though clearly not portable. I've included it as a baseline to compare against the other versions. In my tests, with built-ins, the <code>4 * atan(1)</code> version is fastest on GCC 4.2, because it auto-folds the <code>atan(1)</code> into a constant. With <code>-fno-builtin</code> specified, the <code>atan2(0, -1)</code> version is fastest.</p>

<p>Here's the main testing program (<code>pitimes.c</code>):</p>

<pre class=""lang-c prettyprint-override""><code>#include &lt;math.h&gt;
#include &lt;stdio.h&gt;
#include &lt;time.h&gt;

#define ITERS 10000000
#define TESTWITH(x) {                                                       \
    diff = 0.0;                                                             \
    time1 = clock();                                                        \
    for (i = 0; i &lt; ITERS; ++i)                                             \
        diff += (x) - M_PI;                                                 \
    time2 = clock();                                                        \
    printf(""%s\t=&gt; %e, time =&gt; %f\n"", #x, diff, diffclock(time2, time1));   \
}

static inline double
diffclock(clock_t time1, clock_t time0)
{
    return (double) (time1 - time0) / CLOCKS_PER_SEC;
}

int
main()
{
    int i;
    clock_t time1, time2;
    double diff;

    /* Warmup. The atan2 case catches GCC's atan folding (which would
     * optimise the ``4 * atan(1) - M_PI'' to a no-op), if -fno-builtin
     * is not used. */
    TESTWITH(4 * atan(1))
    TESTWITH(4 * atan2(1, 1))

#if defined(__GNUC__) &amp;&amp; (defined(__i386__) || defined(__amd64__))
    extern double fldpi();
    TESTWITH(fldpi())
#endif

    /* Actual tests start here. */
    TESTWITH(atan2(0, -1))
    TESTWITH(acos(-1))
    TESTWITH(2 * asin(1))
    TESTWITH(4 * atan2(1, 1))
    TESTWITH(4 * atan(1))

    return 0;
}
</code></pre>

<p>And the inline assembly stuff (<code>fldpi.c</code>) that will only work for x86 and x64 systems:</p>

<pre class=""lang-c prettyprint-override""><code>double
fldpi()
{
    double pi;
    asm(""fldpi"" : ""=t"" (pi));
    return pi;
}
</code></pre>

<p>And a build script that builds all the configurations I'm testing (<code>build.sh</code>):</p>

<pre><code>#!/bin/sh
gcc -O3 -Wall -c           -m32 -o fldpi-32.o fldpi.c
gcc -O3 -Wall -c           -m64 -o fldpi-64.o fldpi.c

gcc -O3 -Wall -ffast-math  -m32 -o pitimes1-32 pitimes.c fldpi-32.o
gcc -O3 -Wall              -m32 -o pitimes2-32 pitimes.c fldpi-32.o -lm
gcc -O3 -Wall -fno-builtin -m32 -o pitimes3-32 pitimes.c fldpi-32.o -lm
gcc -O3 -Wall -ffast-math  -m64 -o pitimes1-64 pitimes.c fldpi-64.o -lm
gcc -O3 -Wall              -m64 -o pitimes2-64 pitimes.c fldpi-64.o -lm
gcc -O3 -Wall -fno-builtin -m64 -o pitimes3-64 pitimes.c fldpi-64.o -lm
</code></pre>

<p>Apart from testing between various compiler flags (I've compared 32-bit against 64-bit too because the optimizations are different), I've also tried switching the order of the tests around. But still, the <code>atan2(0, -1)</code> version still comes out on top every time.</p>
","13","","3768871","Chris Jester-Young","2019-05-15 01:33:48","2020-10-18 07:29:12","What is the fastest way to get the value of π?","<performance><algorithm><language-agnostic><unix><pi>","23","18","84","","","CC BY-SA 4.0"
"24","1","49","","2008-08-01 12:12:19","","177","85179","<p>If I have a <code>trigger</code> <code>before the update</code> on a table, how can I throw an error that prevents the update on that table?</p>
","22","","5195227","Jim Anderson","2016-03-11 08:26:05","2020-06-01 15:55:25","Throw an error in a MySQL trigger","<mysql><database><triggers>","7","0","30","","","CC BY-SA 3.0"
