model,vectorizer,acc,hamm,precision,recall,F1,cosine,tps
SGD,bow,0.4517888860695255,0.029397149623614987,0.8589901477832512,0.5457212713936429,0.6674241971173972,0.2720442236863556,38.429488000999996
SGD,tfidf,0.3180664805886831,0.036353928782880816,0.9043478260869564,0.366161369193154,0.5212669683257919,-0.1364634060176141,32.303356313999984
RegLog,bow,0.5126871352448618,0.02672227860948997,0.8212776534924185,0.6462591687041565,0.723332056264025,0.488656346758356,177.660643808
RegLog,tfidf,0.4937833037300178,0.02696016239533113,0.8826340152307003,0.5780929095354523,0.6986171847299374,0.3389664450012908,116.28868398600002
RF,bow,0.4866785079928952,0.027441216273365474,0.9007961783439492,0.5532518337408313,0.6854892456831263,0.32510487260719945,493.97019612
RF,tfidf,0.5154783049987313,0.02581832022329358,0.9030943396226416,0.5851344743276283,0.7101483679525222,0.3801846075331851,1099.6840743859998
lgbm,bow,0.5412331895458006,0.024840353548168825,0.8457207207207207,0.6610268948655257,0.7420541252676073,0.5230402570331433,270.26541799999995
lgbm,tfidf,0.5655924892159351,0.023407764526769854,0.8641789169493655,0.6726650366748166,0.7564892212934449,0.5439777385937379,730.4526189999999
xgboost,bow,0.533113422989089,0.025157531929290367,0.8493098159509203,0.649877750611247,0.7363288824865644,0.4958401666345499,7738.712713000001
xgboost,tfidf,0.5497335701598579,0.024126702190645354,0.8608950656636492,0.6603422982885085,0.7473987159619216,0.5138899480004486,8050.586103
